id,worry_wave1,chosen_emotion_wave1,anger_wave1,disgust_wave1,fear_wave1,anxiety_wave1,sadness_wave1,happiness_wave1,relaxation_wave1,desire_wave1,text_long_wave1,worry_wave2,chosen_emotion_wave2,anger_wave2,disgust_wave2,fear_wave2,anxiety_wave2,sadness_wave2,happiness_wave2,relaxation_wave2,desire_wave2,text_long_wave2
11,7,Anxiety,4,4,7,8,4,3,3,1,"I am worried that i could gt it and annoyed at the people who are not caring and are still going out socialising. They do not seem to understand that they could be carriers of the virus and could kill someone else with their stupidity, I am having to stay at home due to an autoimmune illness so why can't they. I think this will go on for a longer than it needs to unless there is a lock down that stops people doing what they want to. I am worried and scared as I do not want to die because of someones else being careless. ",8,Anxiety,1,1,1,2,1,1,1,1,"I am hoping that the rate doesnt go up as soon as the children go back to school. I am worried that they will see that the vaccine doesnt work as well as they think it does. I am not sure how long it will be until I am prepared to go back to the life I had before as I am still scared of catching covid. 
There will be another lockdown son. They keep lifting measures too soon. They listen to the public instead of us listenijg to them. Other countries are much more strict and getting better results. We should have a full tough lockdown."
12,7,Fear,4,2,8,8,5,5,4,2,"I feel lonely as can't meet up with friends and family and miss them. I feel fearful as worried about me, my family or friends getting the virus. I feel slightly sad as nothing to look forward to as not sure how long this will be going on for, can't seem to get excited about anything as there is nothing planned. I'm hopeful that things will improve in the future and hopefully life will get back to normal. The news is depressing and not sure if it is being exaggerated or whether it is the truth, no nice news coming out",8,Anxiety,5,3,8,8,5,4,2,1,"I am Still worried about family and friends catching it, but hopeful that with the vaccinations that we may see some normality soon and that if people catch it they only have mild symptoms.  I am Hoping that the figures come down and stay low. Worried about how the economy and businesses recover from all the lockdowns and that unemployment will decrease, lucky that I am still in employment. I still feel anxious and still fear that another lockdown will happen or that someone I love will catch it and be seriously ill."
13,7,Anxiety,2,1,4,7,2,4,6,2,"I am both frustrated and anxious about how some people are ignoring the lockdown rules. I want to have hope but just cant see it at the moment and instead have an overwhelming feeling of despair. If attitudes don't change soon they may either go on until next year or never get any better.
As a key worker myself (as well as my wufe) I am constantly anxious about infection and bringing it home to my children. It is a horrible situation to be in when you are constantly scared to do your job or be suspicious of your coworkers and be worried about working with them",6,Anxiety,1,1,1,2,1,7,7,4,"I am impressed at how the worlds scientists have worked together to tackle this worldwide problem.
I am happy and confident that there are a number of vaccines available, however,  I am concerned about the new virus varients that seem to be cropping up. I am also concerned that it may take up to a year for every country to complete its vaccination program and life to return completely back to normal.
Overall i feel a lot more optimistic than I did a year ago and think normality is definitely within sight for all of us."
14,7,Anxiety,4,2,3,6,3,5,2,2,I am very worried about me and my family getting coronavirus and getting seriously ill and dying. I am also worried about my partner losing his job and struggling financially.. I am finding is stressful having my daughter off school and not knowing when she will be going back. I also have a newborn which I think makes the situation more stressful and I think is affecting my mental health as I have lost my support network. Not knowing when the lockdown and restrictions are going to end is hard to deal with and knowing it will probably be for a while.,7,Anxiety,3,1,4,5,2,4,3,1,"i feel worried about catching coronavirus before i get the vaccine. i worry about getting ill and not being able to look after the kids.
i am also worried about new strains and whether the vaccine will be effective against them.
i am looking forward to the schools going back though and things opening again in the next few months. i really hope there isnt another lockdown as this one has been so difficult. i am worried there might be another lockdown in winter as there migh be another strain or cases rise again. i am hoping things will be better in the summer."
15,4,Anger,8,1,2,2,2,4,6,6,"I am angry due to the fact that people are unaware of the fact that Corona virus is a common flu virus and anybody who has got flu in the past will still have it in their body.  There is no test out as yet for covid19 (if there is any virus like that at all).  The figure of people infected is just magnified artificially as """"""""""""""""""""""""""""""""tested positive"""""""""""""""""""""""""""""""".  The cause of death despite of being from other health factors/condition is classified as covid death.  This pandemic is a global cover up for something more sinister.",1,Anger,9,4,2,2,2,7,7,7,"At this moment of time the social media and the mainstream channels have been overtaken by the government to forward their global re-set agenda as announced by the UN.  Covid is just an excuse to usher their agenda.  To accept this agenda they will have to control the masses or their agenda will fail.  All these laws like isolation, lockdown, vaccinations, covid passports, etc are ways to control the population so that they could not rebel and the re-set goes on smoothly.  Covid virus death rate is less than one percent which is less than that of influenza virus, but the media is spreading lies all around that this is a dangerous virus causing a pandemic.  Small businesses are destroyed by lockdown so that their independent income is destroyed and they kneel down to the government.  This re-set is the brainchild of the elite who control their own organisations like UN, UNESCO, WHO. IMF etc and in turn these organisations control the government of countries.  People like Bill Gates, G. Soros, Rothchilds, Morgan etc have invested billions in vaccinations and to bribe these institutions and social media so that they only give false informations about this fake pandemic and to frighten the people.  We can only stand up to these powers by not believing what they say, protest against lockdown, say no to vaccines and PCR test.  The gene therapy (mRNA vaccine) is the worst thing going around and it will have side effects in the coming months.  This in particular is the population reducing strategy.  You don't have to search for evil anywhere, they are here staring at you in your face.   "
16,6,Relaxation,2,2,3,4,4,6,7,6,"With the current coronavirus situation, I am more worried in regards to my assessments for my Master's degree more than possibly becoming infected with the new coronavirus. My university had one of the first recorded cases in my area and so had decided to stop face-to-face lectures and halted laboratory work as well before the government introduced the lockdown regulations. I am also more concerned that my family/friends may become infected with it and that it could become severe, possibly damaging their health in the long-term.",3,Relaxation,2,2,2,3,3,8,8,7,"I feel that the coronavirus situation is becoming better and better as the vaccine programme continues to make progress. Both cases and deaths are declining so hopefully the coronavirus will become under control. I am optimistic that the latter half of 2021 will see society have more freedoms with less restrictions in place. I am not scared of contracting coronavirus as I only make essential trips when necessary and keep to all coronavirus guidelines. My only fear about it is if any of my older relatives contract coronavirus, as it may put their life in danger."
17,6,Relaxation,2,2,2,3,3,5,7,2,"It's very frustrating and when I think of how long we all have to stay apart I get annoyed. Also the fact that you can't physically go shopping, or get a Mcdonalds or anything is annoying. All because China can't be trusted. They've done it many times before creating pandemics, and they're pretty much the only country that has. You wouldn't see huge flu pandemics originating in the United Kingdom! There should be laws placed on the things they do in that country. 

However at this precise moment I am trying not to think about it too much so I'm fairly relaxed. I don't really watch the news, go on Facebook etc because it's all people can talk about and I've had enough of seeing it.",2,Disgust,6,9,2,3,7,2,4,4,"I am really fed up with the social isolation and how long this has been going on for. I don't really think we'll all be free in June like Boris says, they always come up with a new agenda to stop people having their freedom. 

This stupid virus has taking over enough peoples lives, it's time for normality to return. After all how long can the Government realistically keep paying peoples wages. The country will be bankrupt soon.

Kids are also being cheated out of a good education as they're never at school anymore. "
18,6,Anxiety,2,2,6,8,8,2,4,3,"I feel incredibly hopeless. As a single person who is around an age when they really should be finding someone, it feels like wasted time. People who are in relationships and married at least have someone they can confide in during this situation. 

I wake up with a sense of resignation, knowing that I won't see anyone or do anything interesting. One of the only good things is that I can work from home and for me this is so much better. I don't have to worry about commuting, so I don't waste that extra time and money. I can now focus on hobbies such as learning languages.",4,Sadness,2,2,2,7,7,3,4,3,"I have now had the vaccine, so I feel slightly more hopeful. Although the whole situation is depressing for me, especially as a single person because it has meant I haven't really been able to try meeting someone. It makes me jealous of those who are living with their partners. I am just trying to stay positive and imagine what it will be like later in the year. I haven't been able to travel for such a long time and this has affected my mood greatly.

I was originally scared for my older parents, but they too have had the vaccine and this has made me feel a lot better too."
19,6,Sadness,6,2,3,6,8,2,3,3,"I am not worried about the effect of coronavirus on those that I love or myself. I am sad for all those who are suffering in all kinds of ways not just from coronavirus but also from the efforts being made to deal with it. I am also angry about the lack of resources and capabilities to deal with this pandemic

I am worried about how this pandemic will be brought to an end and the longer term impact of the pandemic on society, the ecomony and individuals. I for one will live my life differently as soon as I am able to.",2,Anxiety,2,1,1,7,5,2,5,2,"I am optimistic that there is light at the end of the tunnel and I hope that we can avoid a third wave, but suspect there will be one. But what really worries me and makes me anxious is how different the """"""""""""""""""""""""""""""""new normal"""""""""""""""""""""""""""""""" will be once vaccinations are done and lockdown is finally lifted. I hope that we can get back to our old lifestyle, but fear that may have gone for ever, with lives lost, businesses closed, relationships changed and new ongoing restrictions introduced, such as vaccination passports etc."
20,7,Relaxation,3,5,3,4,6,2,6,3,"I have conflicting feelings.

What's happening in the world is horrible, there's no doubt about that, it incredibly sad to see and hear of so many deaths in the world because of this awful disease and I really do hope that we find a way to contain/cure this soon and save as many lives as possible.

Looking for a silver lining, however, I'm working from home and my mental health has massively improved because of it. My day usually involves waking at 5am, driving 30 miles to work usually stressing out in traffic, and once I get to work I'm tired before I've even started, then I have to do it again in the evening, usually getting home late in the evening, not having time to cook properly because I just want a few hours on the couch to switch off before I have to go to bed and get up at 5am again.
With my current working from home situation, I'm getting twice as much sleep as I normally do (usually only get around 4 or 5 hours tops), I'm not stressed and tired from driving for over an hour, I'm able to switch off at a reason time in the early evening and actually cook healthier meals, spend more time with my partner etc.
So although the whole reason we're in this mess is awful, by being forced to stay home and work, my mental and physical health has hugely improved.",3,Relaxation,4,4,3,4,6,4,7,6,"I have had mixed feelings about Covid from the start. I've followed all the advice, taken all precautions etc so I'm sad to see such a devastating effect it's had on millions of families around the world, from death to financial losses.

On the flip side to this, I am quite an independent person who genuinely likes to stay in, watch movies, play games, play the guitar, work on my garden etc - so having the pressure of being a 30 something who is usually socially expected to be 'out and about' all the time taken away from me has made me more relaxed.

I also think that Covid in a way has saved my life. I haven't had the virus myself, but the shift in working from home and offering that flexibility in working hours and locations has been a game changer for me. I'm no longer getting up at 5am every day to do a 1 hour commute to work and being tired before I've begun, and then doing it again at the end of a long day. I get more sleep, I am more rested, I save hundreds of pounds extra a month from being at home rather than commuting, and I get to spend more time with my partner - the work/life balance has never ever been better for me which has led to me being more happy "
21,4,Sadness,3,3,2,3,8,3,3,3,"I feel sad about the people who are ill and have died. The situation doesn't seem to be improving. all the people out of work. The world is going to be in a right state when everything gets back to normal. Airlines, Travel companies, pubs and shops will all go out of business.  I am sick of lock down. it is boring nothing open nowhere to go. The weather is nice now and all you can do is sit in the garden .I hope the situation improves soon or everyone is going to go crazy. It is hard to keep busy and I hate sitting around doing nothing, Watching TV. The days just drag. ",2,Relaxation,7,3,2,5,4,7,6,4,"I am not worried about catching corona. I think we are in control of the corona virus, I still haven't had my vaccination but I should be having it in a few weeks. I just want to resume normal life and for all the shops to reopen. I think it will be at least a year before everything reopens like cinemas and theatres. What I miss the most is being able to go to a pub for a meal and meeting friend for a chat, It is done now through online messaging. It is depressing with nowhere to go but It won't be so bad when the weather improves and we have a bit of sunshine, everything feels better when the sun is shining."
22,6,Anxiety,5,3,6,6,5,5,5,5,"I think it's an incredibly sad situation that the world will take a very long time to process and recover from. I think it is essential we learn from this and invest more heavily in healthcare and scientific research, whilst also increasing political pressure on countries that fail to adhere to ethical practices. 

I wish there was more I could do to help, but at the moment I think the most important thing is to stay inside and refrain from social contact with others. I hope this is over soon and things can return to normal",6,Desire,5,2,4,5,6,4,4,8,"I am optimistic about the future and I feel like the worst of the UK's coronavirus situation is over. I can't wait until people can go out again and things can return to normal more. I feel upset about all the opportunities and time we have lost, particularly as this was my last year of university and I was unable to go in and have been paying rent for nothing. I'm very excited to be able to meet friends and go out again soon. I feel a lot less worried now because my parents are being vaccinated very soon and It's very positive that covid cases and deaths are decreasing considerably now. I hope that more is done in the future to help our NHS and try and stop this happening again."
23,7,Anxiety,2,2,5,8,6,5,4,3,"I am anxious as to how the symptoms would present for myself, my friends and family as no one really knows the level of severity you would experience until you get it. I am relieved there has been a drop in deaths today however there are many more days to come and we must not be complacent. I worry about my husband who still has to go out to work. I am angry at those people who choose not to follow social distancing instructions. I am happy myself and my children and wider family are currently safe.",7,Anger,6,2,2,2,5,5,5,3,I feel relieved and yet disappointed that schools are going back as I shall miss my children during the day and yet I know that school classrooms are a better learning environment.  I feel pleased for the roll out of the vaccine.  I also feel hopeful that the vaccine rollout might be the beginning of the return to a more normal l life.  I am also feel a little bit of excitement for this reason is also kicking in as well. On occasions I feel some annoyance at those people who are not following rules that are set out for the general public and making the situation harder for everyone and feel that they are being quite selfish.
24,8,Anxiety,4,3,7,8,7,5,3,6,"I am very anxious about the situation and that myself and my family may get ill.  I am also concerned about the financial impact, both personally and for the economy.  I long to go back to 'normal' and the freedom that we all didn't appreciate.  I long for no more suffering and no more deaths.  I am very worried and concerned.  I am desperate to protect my family and keep them safe and I am trying my hardest to do this therefore I am stressed, tired and anxious a lot but trying to put a brave face on for my children.",6,Anxiety,4,2,6,7,6,5,4,4,"I still feel very anxious about the Covid situation.  I am worried for myself, my friends and family.  I am worried for the lives we had before which may never be the same again.  I am upset for our children and the experiences and life they have missed out on. I think a year on we know what happened in the past and did not have the fear of the unknown.  I am also starting to feel a bit of hope that the warmer weather may bring an end to the situation.  I have conflicted feelings and want hope to overcome the fear and anxiety.  "
25,8,Anxiety,4,2,8,8,6,5,3,1,"I am very worried about the future.I have 3 part timejobs but i'm not getting paid or furloughed from any of them at present I have diabetes so i'm classed as at risk..My daughter is stuck over 100miles away and a have lost a friend and relative in the past week . My brother lives in the USA where things are getting worse.The uncretainty is the worst part,nothing like this has happended before so no one knows what the future holds. Cant think of anything else to comment on at present, this is like doing an English assisgnment",7,Anxiety,4,2,6,8,3,5,6,2,I didn't think the pandemic would last this long but our government haven't helped matters by delaying lockdown. The closure of shops and other travel restrictions are annoying and frustrating but I see why they are needed and I wish everyone would stick to them. Human life is more important that the economy.  I have no problem with masks and social distancing but I'm hoping that vaccination means the virus will soon be under control but I think vaccination is going to be a permanent and standard thing like vaccines children get at present . I'm not sure where the virus started.
26,9,Anxiety,5,5,7,9,7,2,2,1,I feel very anxious as it’s an uncertain situation and not sure how long this will last or what future implications will be. I am scared and wonder how it will affect everyone. I think people aren’t taking this seriously but the government should put orders out rather than instructions as there are people that think they will be the only ones going out etc. but that isn’t the case. I don’t understand how people are thinking like that or why people are letting them go out etc. as I know that if I said something about going out or whatever that people would tell me to stay in and hold me accountable.,6,Anxiety,3,5,6,9,3,3,3,1,"I am hopeful that this will be the last lockdown, however I do not fully trust the government. I have been working through this lockdown as a key worker (special needs teacher) so although my job has changed in its approach I have had routine etc. I have not struggled with this lockdown as much as others, however I do want things to ease so I can go see family without guilty (even though they are my support bubble) and have plans to look forward to. I have been following government guidance and may continue to do so even when life is 'back to normal' such as social distance from people I do not know. When out in public (such as running) I see people that are not following guidance and it makes me annoyed"
27,7,Anxiety,8,6,9,9,7,2,3,5,"A confusing time with many contrasting thoughts. Future seems extinct and very lonely, sad, skint and worried. The uncertainty is the worst thing. I feel the big businesses and banks and super rich will be the only beneficiaries of this. A cruel world. I feel like its dog eat dog and the only way is to be ruthless. The government have been indecisive, however I think they are just puppets dancing to the pied piper. How much longer can we go on? What will the country and indeed world look like after this? Are these measures necessary?",3,Anxiety,6,6,7,7,5,5,4,5,"Very concerned. It has become apparent since last summer there has been no medical pandemic. So why the restrictions? Very worrying and it is very apparent this is about climate change, control, tracking and power grabs. Unfortunately, as far as I am concerned, the mask slipped months ago! Yet we seem to go on and on with this charade of using a respiratory virus as a trojen horse for new ways of governance and control. The whole scenario seems controlled by people of average intelligence. It also annoys me that many people are blighted by fear and follow the propaganda like a heard of sheep."
28,6,Anxiety,2,1,5,5,3,2,4,2,"I’m Feeling a bit worried and anxious about corona. I’m concerned that my sister will catch it and be seriously ill or die as she has congenital heart disease. I’m also feeling bored at being cooped up in the house. every day is very repetitive with the same activities and I feel that life is just passing by.

I am also annoyed at people who are carrying on as if nothing is happening as they are spreading the virus and will make us all stay in lockdown for much longer. I am annoyed at people going shopping to unnecessary shops to buy items that are not essentials. ",6,Relaxation,1,1,1,2,1,5,7,1,"At the moment, I feel fed up with the Corona situation. It has been going on for too long and I feel that we should be allowed some more normal life back now that a lot of the vunerable are vaccinated. Covid-19 has made life very boring but I do feel a lot less scared about it now then I did last March as my sister who is on the shielding list and my parents have all been vaccinated. 

I feel less anxious when out and about working and doing shopping but I am still extremely careful and keep my distance and wear my mask. I have hope that the situation will greatly improve as more and more are vaccinated and I hope of some normal life soon. I dream of the day that we don't need to wear masks and can go where we want when we want. "
29,7,Anxiety,2,6,7,8,6,1,1,1,I fear that someone in my family will get the virus. I am worried for my children if I were to get it. I am anxious about being able to provide enough food for my family. I am anxious about having enough  money to pay my bills. I try to keep my anxiety and worries to myself so my children aren't affected but they are missing their grandparents and friends. I am worried about what will happen afterwards - if my job will be safe. The economy will surely suffer and no one knows how long it will take to recover.,3,Relaxation,1,1,1,2,2,5,5,1,"It is dragging on for ages. I want things to be back to normal again. I can’t believe it has been a year since this all started. It has been too long since I’ve seen my family. I want to go out for a meal. I want to go out without having to wear a mask. I want to meet with people I’ve not seen all year without worrying about germs. I want my children to be able to play out in parks without being scared of catching the virus they keep hearing all about. I want to go on an airplane on a holiday and chill on a beach somewhere sunny again. I’m sick of going for walks for fun, that is all we ever seem to do at the moment. Home schooling is a nightmare. Thank goodness schools are opening again next week. Pass the gin. "
30,3,Anxiety,2,3,4,5,3,7,8,6,"I am pleased that people have stopped panic buying but all this stuff going on with the US stealing masks destined from other countries isn’t constructive at all. I am still relatively relaxed about the situation, but I have switched to online shopping but still try to get out when I need something essential but I just go into the garden for some exercise. I think the peak should come soon, and I, like many others, will most definitely be looking into holidays and trips for afterwards. When it does all finish, I hope people will support local business as much as possible.",4,Sadness,4,1,2,3,3,7,8,2,"I am feeling hopeful about the vaccine rollout going well but anxious about the return of schools, and hopefully it won't be like the September surge all over again with all of the mixing, but it seems like adequate measures have been put in place to prevent a repeat of what happened previously. Might even get a holiday in this year which'll be good, but happy to stay in the UK this year if it's considerably safer. Nice to be able to get family booked in for vaccines too. Just annoying that it's still going on, especially coming up to the 1 year anniversary of the pandemic, but the end is (hopefully) in sight."
31,7,Anxiety,3,1,7,8,4,7,5,4,"I feel anxious about what might happen next. There is so much uncertainty. I am worried for friends and family. I wonder how long lockdown will last. I worry they will take away our ability to exercise once daily as it’s something that helps with my mental health. However I am fortunate to have a garden and understand that we need to protect vulnerable people and our NHS.
There is a lot of misinformation which is very frustrating. A lot of squabbling about hoarding and how long it is appropriate to exercise for. It’s difficult to tear myself away from social media and news - I know it’s not helpful for my mental health, it’s exhausting but it’s compulsive. ",7,Anxiety,2,3,5,7,7,8,8,7,"It’s exhausting in many ways after a whole year of having to socially distance from people, working at home with constant video calls. I feel hopeful that we can get back to some sort of normality again, see people etc, at some point in the future. Vaccines are very hopeful and positive. It’s frustrating to not know when that time will be but understand that for the good of everyone it is what it is.

I don’t have anything more to say but trying to make up the 500 characters and again trying to make up the 500 characters. Want to say something meaningful. "
32,7,Anxiety,5,4,6,7,5,3,2,3,"Life would be simpler without this. Life would also be simpler if we had a Government who were even borderline competent! I'm very concerned about the health of my elderly relatives (my mother-in-law is currently in hospital with CV, and my mother -- who is in a nursing home -- is showing symptoms which may be it). I'm also annoyed that the virus has taken away many enjoyable things -- like the celebratory dinner party I was supposed to be holding last weekend, and the holiday I was due to leave for tomorrow.",7,Anxiety,4,1,5,7,7,2,1,4,"Oh God I am so bored of the whole thing. I have just been talking to my band, with whom I have not been able to rehearse in a full year, and I miss them all so much. I also miss my family - particularly my mum, who died of Covid last April. And now I need to add some more characters because apparently I have not written enough, which would have been useful information earlier. Still not 500 characters? You don't want """"""""""""""""""""""""""""""""a few sentences"""""""""""""""""""""""""""""""", you want War and bloody Peace. Character character character."
